,uf,municipio,cod_municipio,zona,secao,modelo_urna,22,13,branco,nulo,comparecimentos,aptos
0,ZZ,ABU DHABI,29262,0001,1977,UE2009,86,67,3,0,182,409
1,ZZ,ABU DHABI,29262,0001,1978,UE2009,114,52,3,6,195,546
2,ZZ,ABU DHABI,29262,0001,1980,UE2009,148,135,5,5,353,784
3,ZZ,ABU DHABI,29262,0001,1981,UE2009,116,98,1,1,249,509
4,ZZ,AMÃ,29289,0001,1931,UE2009,58,177,6,7,297,519
5,ZZ,AMÃ,29289,0001,1932,UE2009,49,161,10,7,285,517
6,ZZ,ARTIGAS,29319,0001,0007,UE2009,245,116,9,4,425,686
7,ZZ,ASSUNÇÃO,29327,0001,0008,UE2009,254,83,4,6,389,739
8,ZZ,ASSUNÇÃO,29327,0001,0009,UE2009,254,82,10,7,376,771
9,ZZ,ASSUNÇÃO,29327,0001,0010,UE2009,264,91,15,3,423,731
10,ZZ,ATENAS,29335,0001,1897,UE2009,136,99,1,3,278,693
11,ZZ,ATENAS,29335,0001,1898,UE2009,69,65,5,2,170,370
12,ZZ,BANGKOK,29343,0001,0499,UE2010,42,46,2,2,109,220
13,ZZ,BARCELONA,29351,0001,1556,UE2009,81,307,10,5,431,796
14,ZZ,BARCELONA,29351,0001,1557,UE2009,98,258,10,3,424,793
15,ZZ,BARCELONA,29351,0001,1558,UE2009,65,254,9,7,367,794
16,ZZ,BARCELONA,29351,0001,1559,UE2009,84,232,8,11,381,797
17,ZZ,BARCELONA,29351,0001,1560,UE2009,45,102,4,2,172,536
18,ZZ,BARCELONA,29351,0001,1561,UE2009,58,125,5,6,219,795
19,ZZ,BARCELONA,29351,0001,1562,UE2009,52,119,6,1,192,797
20,ZZ,BARCELONA,29351,0001,1563,UE2009,67,188,3,3,287,796
21,ZZ,BARCELONA,29351,0001,1564,UE2009,64,207,9,1,315,796
22,ZZ,BARCELONA,29351,0001,1565,UE2009,59,214,1,5,301,796
23,ZZ,BARCELONA,29351,0001,1566,UE2009,58,213,1,3,295,798
24,ZZ,BARCELONA,29351,0001,1567,UE2009,52,279,1,4,359,798
25,ZZ,BARCELONA,29351,0001,1568,UE2009,57,338,3,2,431,792
26,ZZ,BARCELONA,29351,0001,1569,UE2009,61,234,2,2,326,795
27,ZZ,BEIRUTE,29360,0001,1056,UE2009,77,150,11,15,273,465
28,ZZ,BEIRUTE,29360,0001,1366,UE2009,107,226,5,6,356,798
29,ZZ,BEIRUTE,29360,0001,1580,UE2009,101,163,4,3,302,694
30,ZZ,BEIRUTE,29360,0001,1581,UE2009,127,165,7,3,340,747
31,ZZ,BEIRUTE,29360,0001,1582,UE2009,140,176,11,5,385,747
32,ZZ,BEIRUTE,29360,0001,1583,UE2009,128,182,7,1,360,699
33,ZZ,BEIRUTE,29360,0001,1584,UE2010,70,154,8,2,274,696
34,ZZ,BEIRUTE,29360,0001,1585,UE2009,86,146,5,3,285,700
35,ZZ,BEIRUTE,29360,0001,1591,UE2009,111,239,6,16,393,794
36,ZZ,BERLIM,29386,0001,1709,UE2009,57,409,4,7,528,781
37,ZZ,BERLIM,29386,0001,1710,UE2009,47,430,5,5,528,794
38,ZZ,BERLIM,29386,0001,1711,UE2009,59,453,3,3,569,785
39,ZZ,BERLIM,29386,0001,1712,UE2009,39,449,2,5,534,790
40,ZZ,BERLIM,29386,0001,1713,UE2010,42,377,4,4,460,785
41,ZZ,BERLIM,29386,0001,1714,UE2009,31,499,2,9,593,782
42,ZZ,BERLIM,29386,0001,1715,UE2009,45,342,4,3,430,701
43,ZZ,BERLIM,29386,0001,1716,UE2009,44,328,0,6,413,792
44,ZZ,BERLIM,29386,0001,1717,UE2009,40,319,2,7,413,738
45,ZZ,BERLIM,29386,0001,1718,UE2009,22,191,3,2,241,481
46,ZZ,BERLIM,29386,0001,1719,UE2009,44,371,3,7,465,788
47,ZZ,BERLIM,29386,0001,1720,UE2009,48,334,1,1,415,783
48,ZZ,BERLIM,29386,0001,1723,UE2009,66,184,2,7,283,751
49,ZZ,BERLIM,29386,0001,1724,UE2009,75,250,4,4,378,790
50,ZZ,BERLIM,29386,0001,1725,UE2009,55,226,2,6,341,776
51,ZZ,BERLIM,29386,0001,3247,UE2009,41,237,4,2,310,515
52,ZZ,BOGOTÁ,29408,0001,0029,UE2009,127,183,11,4,365,779
53,ZZ,BOGOTÁ,29408,0001,0030,UE2009,115,182,17,0,358,783
54,ZZ,BOSTON,29416,0001,0031,UE2009,156,49,5,2,236,727
55,ZZ,BOSTON,29416,0001,0032,UE2009,175,92,0,1,287,656
56,ZZ,BOSTON,29416,0001,0033,UE2009,210,44,1,2,273,743
57,ZZ,BOSTON,29416,0001,0034,UE2009,162,49,3,4,227,746
58,ZZ,BOSTON,29416,0001,0035,UE2009,174,69,2,3,265,738
59,ZZ,BOSTON,29416,0001,0036,UE2009,170,71,1,5,265,736
60,ZZ,BOSTON,29416,0001,0037,UE2009,175,46,3,3,244,729
61,ZZ,BOSTON,29416,0001,0039,UE2009,201,140,2,7,377,717
62,ZZ,BOSTON,29416,0001,0040,UE2009,178,44,2,1,244,721
63,ZZ,BOSTON,29416,0001,0041,UE2009,177,73,1,8,286,738
64,ZZ,BOSTON,29416,0001,0042,UE2009,168,66,5,6,272,713
65,ZZ,BOSTON,29416,0001,0043,UE2009,175,52,4,2,256,731
66,ZZ,BOSTON,29416,0001,0044,UE2009,179,62,1,3,262,737
67,ZZ,BOSTON,29416,0001,0045,UE2009,196,45,0,5,265,731
68,ZZ,BOSTON,29416,0001,0046,UE2009,169,81,3,4,269,727
69,ZZ,BOSTON,29416,0001,0047,UE2009,169,75,1,3,269,732
70,ZZ,BOSTON,29416,0001,0048,UE2009,170,47,5,3,250,725
71,ZZ,BOSTON,29416,0001,0049,UE2009,180,54,3,1,256,726
72,ZZ,BOSTON,29416,0001,0050,UE2009,172,52,0,4,252,713
73,ZZ,BOSTON,29416,0001,0052,UE2009,221,72,5,2,324,715
74,ZZ,BOSTON,29416,0001,0508,UE2009,174,59,1,4,251,727
75,ZZ,BOSTON,29416,0001,0523,UE2009,185,56,2,3,268,721
76,ZZ,BOSTON,29416,0001,0532,UE2009,169,46,4,2,248,727
77,ZZ,BOSTON,29416,0001,0537,UE2009,169,48,2,0,238,719
78,ZZ,BOSTON,29416,0001,0564,UE2009,176,61,2,2,262,740
79,ZZ,BOSTON,29416,0001,0565,UE2009,209,59,6,1,291,721
80,ZZ,BOSTON,29416,0001,0595,UE2009,180,53,2,1,253,716
81,ZZ,BOSTON,29416,0001,0609,UE2009,206,67,5,2,297,716
82,ZZ,BOSTON,29416,0001,0627,UE2009,173,69,3,1,264,714
83,ZZ,BOSTON,29416,0001,0661,UE2009,193,78,4,3,298,718
84,ZZ,BOSTON,29416,0001,0673,UE2009,186,79,6,2,299,715
85,ZZ,BOSTON,29416,0001,0679,UE2009,199,79,4,3,301,714
86,ZZ,BOSTON,29416,0001,0681,UE2009,193,94,1,2,316,715
87,ZZ,BOSTON,29416,0001,0694,UE2009,98,57,1,0,166,425
88,ZZ,BOSTON,29416,0001,0942,UE2009,208,50,0,1,279,787
89,ZZ,BOSTON,29416,0001,1025,UE2009,252,60,3,4,341,800
90,ZZ,BOSTON,29416,0001,1048,UE2009,166,40,2,0,226,792
91,ZZ,BOSTON,29416,0001,1142,UE2009,204,47,5,4,280,652
92,ZZ,BOSTON,29416,0001,1189,UE2009,202,50,1,3,270,796
93,ZZ,BOSTON,29416,0001,1202,UE2009,150,25,6,3,193,794
94,ZZ,BOSTON,29416,0001,1210,UE2009,209,50,2,0,273,796
95,ZZ,BOSTON,29416,0001,1219,UE2009,230,37,2,4,290,799
96,ZZ,BOSTON,29416,0001,1345,UE2009,143,47,2,0,204,790
97,ZZ,BOSTON,29416,0001,1367,UE2009,261,132,3,2,425,794
98,ZZ,BOSTON,29416,0001,1441,UE2009,183,61,4,3,274,798
99,ZZ,BOSTON,29416,0001,1485,UE2009,108,37,3,1,156,475
100,ZZ,BOSTON,29416,0001,1509,UE2009,225,57,4,1,305,800
101,ZZ,BRUXELAS,29432,0001,1935,UE2010,86,132,8,4,250,493
102,ZZ,BRUXELAS,29432,0001,1936,UE2009,154,328,7,8,533,795
103,ZZ,BRUXELAS,29432,0001,1937,UE2009,176,291,7,6,527,799
104,ZZ,BRUXELAS,29432,0001,1938,UE2009,122,287,6,8,481,796
105,ZZ,BRUXELAS,29432,0001,1939,UE2009,159,223,10,3,437,791
106,ZZ,BRUXELAS,29432,0001,1941,UE2009,167,173,9,7,383,793
107,ZZ,BRUXELAS,29432,0001,1942,UE2009,146,205,4,4,406,796
108,ZZ,BRUXELAS,29432,0001,1943,UE2009,87,92,2,3,208,399
109,ZZ,BRUXELAS,29432,0001,1946,UE2009,174,253,10,12,539,760
110,ZZ,BUCARESTE,29440,0001,0715,UE2009,12,29,0,1,55,108
111,ZZ,BUDAPESTE,29459,0001,1695,UE2009,44,175,2,3,245,368
112,ZZ,BUDAPESTE,29459,0001,1696,UE2009,28,316,2,4,373,445
113,ZZ,BUENOS AIRES,29467,0001,0061,UE2009,159,329,6,4,532,783
114,ZZ,BUENOS AIRES,29467,0001,0062,UE2009,147,334,5,7,538,794
115,ZZ,BUENOS AIRES,29467,0001,0063,UE2009,139,355,3,2,538,786
116,ZZ,BUENOS AIRES,29467,0001,0064,UE2009,139,269,1,3,442,794
117,ZZ,BUENOS AIRES,29467,0001,0065,UE2009,161,207,5,4,408,792
118,ZZ,BUENOS AIRES,29467,0001,0066,UE2009,80,293,1,3,400,786
119,ZZ,BUENOS AIRES,29467,0001,0067,UE2009,118,258,8,4,429,786
120,ZZ,BUENOS AIRES,29467,0001,0507,UE2009,134,250,10,4,433,785
121,ZZ,BUENOS AIRES,29467,0001,3214,UE2009,93,255,2,3,371,585
122,ZZ,BUENOS AIRES,29467,0001,3281,UE2009,114,353,2,1,506,774
123,ZZ,BUENOS AIRES,29467,0001,3289,UE2010,108,295,4,6,445,774
124,ZZ,BUENOS AIRES,29467,0001,3291,UE2009,80,273,2,4,376,740
125,ZZ,BUENOS AIRES,29467,0001,3292,UE2009,155,309,9,8,515,775
126,ZZ,BUENOS AIRES,29467,0001,3295,UE2009,156,290,9,5,495,784
127,ZZ,BUENOS AIRES,29467,0001,3298,UE2010,127,336,4,5,518,777
128,ZZ,CAIENA,29475,0001,0068,UE2009,88,96,3,3,212,555
129,ZZ,CAIENA,29475,0001,0069,UE2009,141,127,9,5,307,733
130,ZZ,CAIENA,29475,0001,0070,UE2009,124,121,14,6,289,733
131,ZZ,CAIRO,29483,0001,0075,UE2009,21,42,0,3,73,152
132,ZZ,CAMBERRA,29491,0001,0732,UE2009,31,30,1,2,84,700
133,ZZ,CAMBERRA,29491,0001,0735,UE2009,51,76,6,4,165,589
134,ZZ,CAMBERRA,29491,0001,0739,UE2009,82,202,8,6,364,781
135,ZZ,CAMBERRA,29491,0001,0741,UE2009,74,158,8,4,276,536
136,ZZ,CAMBERRA,29491,0001,0742,UE2009,110,124,8,9,308,531
137,ZZ,CAMBERRA,29491,0001,0744,UE2009,111,169,6,11,358,678
138,ZZ,CAMBERRA,29491,0001,1150,UE2009,76,341,5,4,491,792
139,ZZ,CHICAGO,29513,0001,0080,UE2009,108,142,2,3,306,794
140,ZZ,CHICAGO,29513,0001,0081,UE2009,65,75,2,2,185,781
141,ZZ,CHICAGO,29513,0001,0082,UE2009,79,107,3,0,222,793
142,ZZ,CHICAGO,29513,0001,0589,UE2009,60,101,2,2,191,754
143,ZZ,CHICAGO,29513,0001,0645,UE2009,43,63,1,1,119,752
144,ZZ,CHICAGO,29513,0001,0723,UE2009,56,115,2,2,201,767
145,ZZ,CHICAGO,29513,0001,0743,UE2009,75,141,6,2,259,790
146,ZZ,CHICAGO,29513,0001,0780,UE2009,71,97,0,7,205,793
147,ZZ,CHICAGO,29513,0001,0819,UE2009,55,85,3,3,171,782
148,ZZ,CHICAGO,29513,0001,0867,UE2009,72,119,2,7,230,790
149,ZZ,CHICAGO,29513,0001,0939,UE2009,85,64,1,2,175,604
150,ZZ,CHICAGO,29513,0001,1085,UE2009,50,51,4,4,126,730
151,ZZ,CHICAGO,29513,0001,1137,UE2009,81,157,1,3,281,759
152,ZZ,CHICAGO,29513,0001,2918,UE2009,47,129,2,4,213,396
153,ZZ,CIDADE DO CABO,29530,0001,0084,UE2009,49,82,7,5,167,303
154,ZZ,SINGAPURA,29548,0001,0506,UE2009,60,87,5,3,210,399
155,ZZ,SINGAPURA,29548,0001,0509,UE2009,37,95,7,3,198,409
156,ZZ,CIUDAD DEL ESTE,29556,0001,0086,UE2009,421,46,1,8,485,743
157,ZZ,CIUDAD DEL ESTE,29556,0001,0087,UE2009,384,36,4,1,426,719
